binary,addr,name,category,auto,body_size,instrs,callers,callees,calls_named,called_by_named,hash,hash_bytes,failure
mshtml.dll,0x18041b7f0,func_start_0x18041b7f0,func_start_,Y,77,1f,0,0,N,N,0xa0bd2a6ef509ec78,32,missing_knowledge
mshtml.dll,0x18041b870,func_call_0x18041b870,func_call_,Y,cb,3d,1,0,N,N,0x6f7fab5f5518ed84,32,missing_knowledge
mshtml.dll,0x18041b944,func_start_0x18041b944,func_start_,Y,25,e,5,0,N,N,0x4e38cf25b8af05db,32,missing_knowledge
mshtml.dll,0x18041b980,func_start_0x18041b980,func_start_,Y,2f,d,0,0,N,N,0xf857f1eb18faefc5,32,missing_knowledge
mshtml.dll,0x18041b9c0,func_start_0x18041b9c0,func_start_,Y,67,1d,0,0,N,N,0x75b203fd3dfca835,32,missing_knowledge
mshtml.dll,0x18041ba34,func_start_0x18041ba34,func_start_,Y,6e,1c,1,0,N,N,0xecc36778f24aeff8,32,missing_knowledge
mshtml.dll,0x18041bab0,func_start_0x18041bab0,func_start_,Y,54,17,0,0,N,N,0xee22faa06ed127ae,32,missing_knowledge
mshtml.dll,0x18041bb0c,func_call_0x18041bb0c,func_call_,Y,28,c,1,0,N,N,0x419ad8732fd9682c,32,missing_knowledge
mshtml.dll,0x18041bb3c,func_start_0x18041bb3c,func_start_,Y,7b,23,8,0,N,N,0x48ceb41f90e9da57,32,missing_knowledge
mshtml.dll,0x18041bbb9,func_start_0x18041bbb9,func_start_,Y,8,3,1,0,N,N,0xc73dee11043cd0e8,32,missing_knowledge
mshtml.dll,0x18041bbd4,func_call_0x18041bbd4,func_call_,Y,f0,41,1,0,N,N,0xa3d7f8abb47a6517,32,missing_knowledge
mshtml.dll,0x18041bcd0,func_data_0x6446759120,func_data_,Y,0,0,0,0,N,N,0xdca6b93e875b206f,32,discovery_failure
mshtml.dll,0x18041bd54,func_start_0x18041bd54,func_start_,Y,26,b,1,0,N,N,0xbd7a1e6e68b8e49c,32,missing_knowledge
mshtml.dll,0x18041be74,func_start_0x18041be74,func_start_,Y,118,45,1,0,N,N,0xbd46d27323167c8f,32,missing_knowledge
mshtml.dll,0x18041bfa0,func_start_0x18041bfa0,func_start_,Y,19,7,0,0,N,N,0x8520b042dd72d88a,32,missing_knowledge
mshtml.dll,0x18041bfc4,func_start_0x18041bfc4,func_start_,Y,66,1a,3,0,N,N,0x0ebbab7a2dae281c,32,missing_knowledge
mshtml.dll,0x18041c03c,func_call_0x18041c03c,func_call_,Y,5f,1a,4,0,N,N,0x04bfef67ea4b6b81,32,missing_knowledge
