binary,addr,name,category,auto,body_size,instrs,callers,callees,calls_named,called_by_named,hash,hash_bytes,failure
d2d1.dll,0x180001d80,func_pdata_0x180001d80,func_pdata_,Y,f5,37,0,0,N,N,0x9946edd7d8daffe1,32,missing_knowledge
d2d1.dll,0x180001e80,func_pdata_0x180001e80,func_pdata_,Y,5d,17,0,0,N,N,0x9946edd7d8daffe1,32,missing_knowledge
d2d1.dll,0x180001ee0,func_pdata_0x180001ee0,func_pdata_,Y,35,c,0,0,N,N,0xbbcc5608b0f9eff3,32,missing_knowledge
d2d1.dll,0x180001f20,func_pdata_0x180001f20,func_pdata_,Y,a9,27,0,0,N,N,0x9946edd7d8daffe1,32,missing_knowledge
d2d1.dll,0x180001fd0,func_pdata_0x180001fd0,func_pdata_,Y,35,c,0,0,N,N,0xbbcc5608b0f9eff3,32,missing_knowledge
d2d1.dll,0x180002010,func_pdata_0x180002010,func_pdata_,Y,35,c,0,0,N,N,0xbbcc5608b0f9eff3,32,missing_knowledge
d2d1.dll,0x180002050,func_pdata_0x180002050,func_pdata_,Y,f5,37,0,0,N,N,0x9946edd7d8daffe1,32,missing_knowledge
d2d1.dll,0x180002150,func_data_0x6442459472,func_data_,Y,0,0,0,0,N,N,0xd8df801ee0ee7d56,32,discovery_failure
d2d1.dll,0x180002160,func_pdata_0x180002160,func_pdata_,Y,a9,27,0,0,N,N,0x9946edd7d8daffe1,32,missing_knowledge
d2d1.dll,0x180002210,func_pdata_0x180002210,func_pdata_,Y,cf,2f,0,0,N,N,0x9946edd7d8daffe1,32,missing_knowledge
d2d1.dll,0x1800022e0,func_start_0x1800022e0,func_start_,Y,b,2,0,0,N,N,0x3e2ec31c78dce2fd,32,missing_knowledge
d2d1.dll,0x1800022f0,func_start_0x1800022f0,func_start_,Y,b,2,0,0,N,N,0xa32b158707dce21d,32,missing_knowledge
d2d1.dll,0x180002300,func_start_0x180002300,func_start_,Y,b,2,0,0,N,N,0xf73e73a54b7d097d,32,missing_knowledge
d2d1.dll,0x180002310,func_start_0x180002310,func_start_,Y,b,2,0,0,N,N,0xa5283aaba02965a1,32,missing_knowledge
d2d1.dll,0x180002320,func_pdata_0x180002320,func_pdata_,Y,18,5,0,0,N,N,0x739b81f2a5bf6575,32,missing_knowledge
d2d1.dll,0x180002340,func_start_0x180002340,func_start_,Y,b,2,0,0,N,N,0x36df29c1531c1224,32,missing_knowledge
d2d1.dll,0x180002350,func_jmp_0x180002350,func_jmp_,Y,4,1,0,0,N,N,0xa42755cd060b4fe2,32,missing_knowledge
d2d1.dll,0x180002360,func_pdata_0x180002360,func_pdata_,Y,1f,6,0,0,N,N,0x8c185970a83402d1,32,missing_knowledge
d2d1.dll,0x180002390,func_data_0x6442460048,func_data_,Y,0,0,0,0,N,N,0x5f02f964e0ce8158,32,discovery_failure
d2d1.dll,0x1800023a0,func_data_0x6442460064,func_data_,Y,0,0,0,0,N,N,0xbe72053039bd5364,32,discovery_failure
d2d1.dll,0x1800023b0,func_data_0x6442460080,func_data_,Y,0,0,0,0,N,N,0x353c4483a55bbceb,32,discovery_failure
d2d1.dll,0x1800023c0,func_data_0x6442460096,func_data_,Y,0,0,0,0,N,N,0x695de6e323442325,32,discovery_failure
d2d1.dll,0x1800023d0,func_data_0x6442460112,func_data_,Y,0,0,0,0,N,N,0xe3dd0157afb66a71,32,discovery_failure
d2d1.dll,0x1800023e0,func_data_0x6442460128,func_data_,Y,0,0,0,0,N,N,0xca8e4bb05bf87c6a,32,discovery_failure
d2d1.dll,0x1800023f0,func_data_0x6442460144,func_data_,Y,0,0,0,0,N,N,0x0ac64925bcdcce4d,32,discovery_failure
d2d1.dll,0x180002400,func_data_0x6442460160,func_data_,Y,0,0,0,0,N,N,0x8d85e45c656ba549,32,discovery_failure
d2d1.dll,0x180002410,func_data_0x6442460176,func_data_,Y,0,0,0,0,N,N,0x36f351cb76a88c30,32,discovery_failure
d2d1.dll,0x180002420,func_data_0x6442460192,func_data_,Y,0,0,0,0,N,N,0xc076f30782f6a61c,32,discovery_failure
d2d1.dll,0x180002430,func_data_0x6442460208,func_data_,Y,0,0,0,0,N,N,0x3b98ef1641aee8dc,32,discovery_failure
d2d1.dll,0x180002440,func_data_0x6442460224,func_data_,Y,0,0,0,0,N,N,0x269c237055861365,32,discovery_failure
d2d1.dll,0x180002450,func_data_0x6442460240,func_data_,Y,0,0,0,0,N,N,0xb4e46052d7ed7bcf,32,discovery_failure
d2d1.dll,0x180002460,func_data_0x6442460256,func_data_,Y,0,0,0,0,N,N,0x9a77450a533e2808,32,discovery_failure
d2d1.dll,0x180002470,func_data_0x6442460272,func_data_,Y,0,0,0,0,N,N,0xd4e658f7c7bfb5ad,32,discovery_failure
d2d1.dll,0x180002480,func_data_0x6442460288,func_data_,Y,0,0,0,0,N,N,0x027958f633a85ed6,32,discovery_failure
d2d1.dll,0x180002490,func_data_0x6442460304,func_data_,Y,0,0,0,0,N,N,0x610c9c587326e523,32,discovery_failure
d2d1.dll,0x1800024b0,func_start_0x1800024b0,func_start_,Y,b,2,0,0,N,N,0xfeee0c60f247c321,32,missing_knowledge
d2d1.dll,0x1800024c0,func_start_0x1800024c0,func_start_,Y,b,2,0,0,N,N,0x73cfa15a8737f57c,32,missing_knowledge
d2d1.dll,0x1800024d0,func_data_0x6442460368,func_data_,Y,0,0,0,0,N,N,0x52a9dcf10114c795,32,discovery_failure
d2d1.dll,0x180002530,func_data_0x6442460464,func_data_,Y,0,0,0,0,N,N,0xa8b85fbd8126c91e,32,discovery_failure
d2d1.dll,0x180002560,func_pdata_0x180002560,func_pdata_,Y,24b,98,1,0,N,N,0xcb0aa96db01a90d5,32,missing_knowledge
d2d1.dll,0x1800027c0,func_pdata_0x1800027c0,func_pdata_,Y,84,26,1,0,N,N,0xd7df866603471fdd,32,missing_knowledge
d2d1.dll,0x180002845,func_pdata_0x180002845,func_pdata_,Y,336,d5,0,0,N,N,0xf583deb653ef4afb,32,missing_knowledge
d2d1.dll,0x180002b7c,func_pdata_0x180002b7c,func_pdata_,Y,0,1,0,0,N,N,0x6ffc55b08f5254bb,32,missing_knowledge
d2d1.dll,0x180002b7d,func_pdata_0x180002b7d,func_pdata_,Y,585,173,1,0,N,N,0x5eb15cbdb904b5d8,32,missing_knowledge
d2d1.dll,0x180003103,func_pdata_0x180003103,func_pdata_,Y,12,5,2,0,N,N,0x220ea2d0dd227851,32,missing_knowledge
d2d1.dll,0x180003116,func_pdata_0x180003116,func_pdata_,Y,2b3,bc,1,0,N,N,0xb48052c8eb991bc3,32,missing_knowledge
d2d1.dll,0x1800033d0,func_pdata_0x1800033d0,func_pdata_,Y,299,a1,1,0,N,N,0x6145bf8f1a3794fa,32,missing_knowledge
d2d1.dll,0x180003670,func_pdata_0x180003670,func_pdata_,Y,1a2,77,3,0,N,N,0xd8dc5059f76134cc,32,missing_knowledge
d2d1.dll,0x18000381c,func_pdata_0x18000381c,func_pdata_,Y,90,24,3,0,N,N,0xedb955dda67fcbc2,32,missing_knowledge
d2d1.dll,0x1800038b4,func_pdata_0x1800038b4,func_pdata_,Y,103,48,1,0,N,N,0x5cb7ab2c6ba74840,32,missing_knowledge
d2d1.dll,0x1800039c0,func_pdata_0x1800039c0,func_pdata_,Y,8f,34,1,0,N,N,0xa9c3e09b2dd7f994,32,missing_knowledge
d2d1.dll,0x180003a58,func_pdata_0x180003a58,func_pdata_,Y,4ef,145,1,0,N,N,0x85d576db1eba32d2,32,missing_knowledge
d2d1.dll,0x180003f50,func_pdata_0x180003f50,func_pdata_,Y,3b2,f6,1,0,N,N,0x85d58edb1eba5b9a,32,missing_knowledge
d2d1.dll,0x18000430c,func_call_0x18000430c,func_call_,Y,2d,b,3,0,N,N,0x865cca65a6a4356d,32,missing_knowledge
d2d1.dll,0x180004344,func_pdata_0x180004344,func_pdata_,Y,119,54,c,0,N,N,0xb2953c8a78bf5731,32,missing_knowledge
d2d1.dll,0x180004470,func_pdata_0x180004470,func_pdata_,Y,46,10,0,0,N,N,0xaa6cd9f9d623a129,32,missing_knowledge
d2d1.dll,0x1800044b7,func_pdata_0x1800044b7,func_pdata_,Y,19a,62,0,0,N,N,0x4324294e9e90ba55,32,missing_knowledge
d2d1.dll,0x180004652,func_pdata_0x180004652,func_pdata_,Y,11,5,1,0,N,N,0xa166e4b1a3b21640,32,missing_knowledge
d2d1.dll,0x180004664,func_pdata_0x180004664,func_pdata_,Y,11,4,1,0,N,N,0x9c8a5cadb06d5ac3,32,missing_knowledge
d2d1.dll,0x18000467c,func_pdata_0x18000467c,func_pdata_,Y,183,55,1,0,N,N,0xfa6051060bd41f80,32,missing_knowledge
d2d1.dll,0x180004810,func_pdata_0x180004810,func_pdata_,Y,2b,b,0,0,N,N,0xda8da47ef8a32674,32,missing_knowledge
d2d1.dll,0x180004844,func_pdata_0x180004844,func_pdata_,Y,1ba,5d,1,0,N,N,0xac32a21162fb4950,32,missing_knowledge
d2d1.dll,0x180004a10,func_data_0x6442469904,func_data_,Y,0,0,0,0,N,N,0xfbf628de19987695,32,discovery_failure
d2d1.dll,0x180004a30,func_pdata_0x180004a30,func_pdata_,Y,2b2,98,1,0,N,N,0x93b23f2cc5ac4629,32,missing_knowledge
d2d1.dll,0x180004cec,func_pdata_0x180004cec,func_pdata_,Y,12a,3c,2,0,N,N,0x1b56ec3cc1a1cd04,32,missing_knowledge
d2d1.dll,0x180004e20,func_pdata_0x180004e20,func_pdata_,Y,233,7c,1,0,N,N,0xc64da4ca63735959,32,missing_knowledge
d2d1.dll,0x18000505c,func_pdata_0x18000505c,func_pdata_,Y,f9,33,2,0,N,N,0x687ce7d163e402c0,32,missing_knowledge
d2d1.dll,0x180005160,func_pdata_0x180005160,func_pdata_,Y,222,7b,0,0,N,N,0x04e490072f416ce2,32,missing_knowledge
d2d1.dll,0x18000538c,func_pdata_0x18000538c,func_pdata_,Y,108,3e,1,0,N,N,0x7be1e3136a43eb9e,32,missing_knowledge
