binary,addr,name,category,auto,body_size,instrs,callers,callees,calls_named,called_by_named,hash,hash_bytes,failure
kernel32.dll,0x18002902f,memcmp,named,N,5,1,3,0,N,N,0xba8556311012e280,32,named
kernel32.dll,0x18002903b,memcpy,named,N,5,1,4f,0,N,N,0x02c6d4cefa34c77a,32,named
kernel32.dll,0x180029047,memset,named,N,5,1,7d,0,N,N,0x9d45884f1ecd5622,32,named
kernel32.dll,0x180029053,sin,named,N,5,1,38,0,N,N,0x48cda5bc521e54ff,32,named
kernel32.dll,0x18002905f,wcscmp,named,N,5,1,6,0,N,N,0xf529b055491d8c3a,32,named
kernel32.dll,0x180029080,func_pdata_0x180029080,func_pdata_,Y,6a,18,1,0,N,N,0xd00072690f618a85,32,missing_knowledge
kernel32.dll,0x180029100,_guard_dispatch_icall,named,N,1,1,0,0,N,N,0x47af504401890518,32,named
kernel32.dll,0x180029110,func_pdata_0x180029110,func_pdata_,Y,69f,135,0,0,N,N,0x00a74cd4f142f7cb,32,missing_knowledge
kernel32.dll,0x1800297b0,func_pdata_0x1800297b0,func_pdata_,Y,11f,39,0,0,N,N,0xde783bacc650046c,32,missing_knowledge
kernel32.dll,0x1800298d6,func_pdata_0x1800298d6,func_pdata_,Y,6d,1c,0,0,N,N,0x62352924f09781b8,32,missing_knowledge
kernel32.dll,0x18002994a,func_pdata_0x18002994a,func_pdata_,Y,5d,18,0,0,N,N,0x90afce6f2bccac38,32,missing_knowledge
kernel32.dll,0x1800299ae,func_pdata_0x1800299ae,func_pdata_,Y,23,c,0,0,N,N,0x783f9b4424a6b118,32,missing_knowledge
kernel32.dll,0x1800299d8,func_pdata_0x1800299d8,func_pdata_,Y,27,d,0,0,N,N,0xc7751004b29225e5,32,missing_knowledge
kernel32.dll,0x180029a06,func_pdata_0x180029a06,func_pdata_,Y,15,8,0,0,N,N,0xa2392cee087a0db0,32,missing_knowledge
