binary,addr,name,category,auto,body_size,instrs,callers,callees,calls_named,called_by_named,hash,hash_bytes,failure
shell32.dll,0x180261058,func_call_0x180261058,func_call_,Y,e4,42,1,0,N,N,0x67049ddef3c0714f,32,missing_knowledge
shell32.dll,0x180261150,func_call_0x180261150,func_call_,Y,102,4a,0,0,N,N,0xe24922f7f5af1b53,32,missing_knowledge
shell32.dll,0x180261260,func_start_0x180261260,func_start_,Y,59,16,0,0,N,N,0x76f5dcf51e64f42c,32,missing_knowledge
shell32.dll,0x1802612e0,func_start_0x1802612e0,func_start_,Y,41,12,0,0,N,N,0x53aad517b9401679,32,missing_knowledge
shell32.dll,0x180261334,func_start_0x180261334,func_start_,Y,87,23,2,0,N,N,0x48073b10b9c64b11,32,missing_knowledge
shell32.dll,0x1802615ec,func_start_0x1802615ec,func_start_,Y,4f,18,1,0,N,N,0x9bd2286b73d2cbae,32,missing_knowledge
shell32.dll,0x180261850,func_start_0x180261850,func_start_,Y,31,11,0,0,N,N,0xc3bebf7b185138b7,32,missing_knowledge
shell32.dll,0x180261910,func_start_0x180261910,func_start_,Y,76,27,0,0,N,N,0x4ce40cbcb28fb923,32,missing_knowledge
shell32.dll,0x1802619c0,func_start_0x1802619c0,func_start_,Y,27,9,0,0,N,N,0x7592ead703cdf10a,32,missing_knowledge
shell32.dll,0x1802619f0,func_start_0x1802619f0,func_start_,Y,76,24,0,0,N,N,0x4ba8a3be2fe61838,32,missing_knowledge
shell32.dll,0x180261a70,func_start_0x180261a70,func_start_,Y,85,29,0,0,N,N,0x00a20c9a455db316,32,missing_knowledge
shell32.dll,0x180261b00,func_data_0x6444948224,func_data_,Y,0,0,0,0,N,N,0x5d7eacb5e7d5150c,32,discovery_failure
shell32.dll,0x180261b20,func_data_0x6444948256,func_data_,Y,0,0,0,0,N,N,0x8b7106207c20cd7b,32,discovery_failure
shell32.dll,0x180261b76,func_start_0x180261b76,func_start_,Y,2,2,0,0,N,N,0x6b03ff0f7f20c36b,32,missing_knowledge
shell32.dll,0x180261b80,func_start_0x180261b80,func_start_,Y,28,a,0,0,N,N,0x0617ba0efbcc62f5,32,missing_knowledge
shell32.dll,0x180261bb0,func_data_0x6444948400,func_data_,Y,0,0,0,0,N,N,0x3e6f837abaa9f16d,32,discovery_failure
shell32.dll,0x180261bf0,func_data_0x6444948464,func_data_,Y,0,0,0,0,N,N,0xf3824bc29da6fd7a,32,discovery_failure
shell32.dll,0x180261c24,func_start_0x180261c24,func_start_,Y,43,12,2,0,N,N,0x8ea21af8b86e250f,32,missing_knowledge
shell32.dll,0x180261d74,func_start_0x180261d74,func_start_,Y,36,d,2,0,N,N,0xbb5b0b6be0392423,32,missing_knowledge
shell32.dll,0x180261dc0,func_data_0x6444948928,func_data_,Y,0,0,0,0,N,N,0x4d74853ae328c88b,32,discovery_failure
shell32.dll,0x180261de0,func_start_0x180261de0,func_start_,Y,29,b,0,0,N,N,0x9079df2372b605c4,32,missing_knowledge
shell32.dll,0x180261e14,func_start_0x180261e14,func_start_,Y,102,48,1,0,N,N,0x81638147849c5d2d,32,missing_knowledge
shell32.dll,0x180261f20,func_call_0x180261f20,func_call_,Y,10d,44,3,0,N,N,0x24fc68f1148b87c3,32,missing_knowledge
shell32.dll,0x180262038,func_call_0x180262038,func_call_,Y,19b,74,1,0,N,N,0x2a1ac42035f3f496,32,missing_knowledge
shell32.dll,0x1802621dc,func_call_0x1802621dc,func_call_,Y,7c,21,1,0,N,N,0xe49ffa996a0290bf,32,missing_knowledge
shell32.dll,0x180262260,func_call_0x180262260,func_call_,Y,45,16,1,0,N,N,0xaf6c11fbb907f1c7,32,missing_knowledge
shell32.dll,0x1802622d0,func_call_0x1802622d0,func_call_,Y,63,1b,1,0,N,N,0x0761990a578490a1,32,missing_knowledge
shell32.dll,0x1802623f4,func_start_0x1802623f4,func_start_,Y,53,16,3,0,N,N,0x000c5fb061f8aae6,32,missing_knowledge
shell32.dll,0x180262450,func_start_0x180262450,func_start_,Y,3c,11,0,0,N,N,0xe2f91b3bd57e4d2b,32,missing_knowledge
shell32.dll,0x1802624a0,func_start_0x1802624a0,func_start_,Y,6d,1c,0,0,N,N,0xccc1ac53fbf31bec,32,missing_knowledge
