strategy,unique_a,unique_b,pairs,matches,collisions_a,collisions_b,match_rate,collision_rate
raw_bytes,51,101,21,0,0,0,0.00,0.00
addr_masked,42,41,17,0,10,62,0.00,86.75
opcode_only,18,51,21,0,36,53,0.00,128.99
nibble_masked,18,51,21,0,36,53,0.00,128.99
call_independent,51,101,21,0,0,0,0.00,0.00
prefix_only,50,95,14,2,0,5,14.29,3.45
suffix_only,51,100,21,0,0,2,0.00,1.32
split,51,100,21,0,0,2,0.00,1.32
